original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Absiella.s__Absiella_dolichum	g__Absiella	s__Absiella dolichum		no_species_or_genus_match							
g__Asaccharobacter.s__Asaccharobacter_celatus	g__Asaccharobacter	s__Asaccharobacter celatus		no_species_or_genus_match							
g__Blastocystis.s__Blastocystis_sp_subtype_1	g__Blastocystis	s__Blastocystis sp subtype 1		no_species_or_genus_match							
g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium	g__Candidatus_Gastranaerophilales_unclassified	s__Candidatus_Gastranaerophilales_unclassified Candidatus Gastranaerophilales bacterium		no_species_or_genus_match							
g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10	g__Candidatus_Gastranaerophilales_unclassified	s__Candidatus_Gastranaerophilales_unclassified Candidatus Gastranaerophilales bacterium HUM 10		no_species_or_genus_match							
g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_21	g__Candidatus_Gastranaerophilales_unclassified	s__Candidatus_Gastranaerophilales_unclassified Candidatus Gastranaerophilales bacterium HUM 21		no_species_or_genus_match							
g__Candidatus_Melainabacteria_unclassified.s__Candidatus_Melainabacteria_bacterium_35_41	g__Candidatus_Melainabacteria_unclassified	s__Candidatus_Melainabacteria_unclassified Candidatus Melainabacteria bacterium 35 41		no_species_or_genus_match							
g__Candidatus_Methanomethylophilus.s__Candidatus_Methanomethylophilus_alvus	g__Candidatus_Methanomethylophilus	s__Candidatus_Methanomethylophilus Candidatus Methanomethylophilus alvus		no_species_or_genus_match							
g__Candidatus_Stoquefichus.s__Candidatus_Stoquefichus_sp_KLE1796	g__Candidatus_Stoquefichus	s__Candidatus_Stoquefichus Candidatus Stoquefichus sp KLE1796		no_species_or_genus_match							
g__Clostridiales_unclassified.s__Bacteroides_pectinophilus	g__Clostridiales_unclassified	s__Clostridiales_unclassified Bacteroides pectinophilus		no_species_or_genus_match							
g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	g__Clostridiales_unclassified	s__Clostridiales_unclassified Clostridiales bacterium 1 7 47FAA		no_species_or_genus_match							
g__Clostridiales_unclassified.s__Clostridiales_bacterium_CHKCI006	g__Clostridiales_unclassified	s__Clostridiales_unclassified Clostridiales bacterium CHKCI006		no_species_or_genus_match							
g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615	g__Clostridiales_unclassified	s__Clostridiales_unclassified Clostridiales bacterium KLE1615		no_species_or_genus_match							
g__Erysipelatoclostridium.s__Clostridium_spiroforme	g__Erysipelatoclostridium	s__Erysipelatoclostridium Clostridium spiroforme		no_species_or_genus_match							
g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	g__Erysipelatoclostridium	s__Erysipelatoclostridium ramosum		no_species_or_genus_match							
g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53	g__Erysipelotrichaceae_unclassified	s__Erysipelotrichaceae_unclassified Erysipelotrichaceae bacterium 3 1 53		no_species_or_genus_match							
