original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Acetobacter.s__Acetobacter_sp_CAG_267	g__Acetobacter	s__Acetobacter sp CAG 267		genus_match_only							
g__Acetobacter.s__Acetobacter_sp_CAG_977	g__Acetobacter	s__Acetobacter sp CAG 977		genus_match_only							
g__Acholeplasma.s__Acholeplasma_sp_CAG_878	g__Acholeplasma	s__Acholeplasma sp CAG 878		genus_match_only							
g__Actinomyces.s__Actinomyces_sp_HMSC035G02	g__Actinomyces	s__Actinomyces sp HMSC035G02		genus_match_only							
g__Actinomyces.s__Actinomyces_sp_HPA0247	g__Actinomyces	s__Actinomyces sp HPA0247		genus_match_only							
g__Actinomyces.s__Actinomyces_sp_ICM47	g__Actinomyces	s__Actinomyces sp ICM47		genus_match_only							
g__Actinomyces.s__Actinomyces_sp_oral_taxon_180	g__Actinomyces	s__Actinomyces sp oral taxon 180		genus_match_only							
g__Actinomyces.s__Actinomyces_sp_oral_taxon_181	g__Actinomyces	s__Actinomyces sp oral taxon 181		genus_match_only							
g__Alistipes.s__Alistipes_sp_An31A	g__Alistipes	s__Alistipes sp An31A		genus_match_only							
g__Alistipes.s__Alistipes_sp_An66	g__Alistipes	s__Alistipes sp An66		genus_match_only							
g__Alistipes.s__Alistipes_sp_CAG_268	g__Alistipes	s__Alistipes sp CAG 268		genus_match_only							
g__Alistipes.s__Alistipes_sp_CAG_435	g__Alistipes	s__Alistipes sp CAG 435		genus_match_only							
g__Alistipes.s__Alistipes_sp_CAG_514	g__Alistipes	s__Alistipes sp CAG 514		genus_match_only							
g__Anaerofilum.s__Anaerofilum_sp_An201	g__Anaerofilum	s__Anaerofilum sp An201		genus_match_only							
g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250	g__Anaeromassilibacillus	s__Anaeromassilibacillus sp An250		genus_match_only							
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390	g__Anaerotruncus	s__Anaerotruncus sp CAG 390		genus_match_only							
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528	g__Anaerotruncus	s__Anaerotruncus sp CAG 528		genus_match_only							
g__Azospirillum.s__Azospirillum_sp_CAG_260	g__Azospirillum	s__Azospirillum sp CAG 260		genus_match_only							
g__Bacteroides.s__Bacteroides_coprocola	g__Bacteroides	s__Bacteroides coprocola		genus_match_only							
g__Bacteroides.s__Bacteroides_coprophilus	g__Bacteroides	s__Bacteroides coprophilus		genus_match_only							
g__Bacteroides.s__Bacteroides_dorei	g__Bacteroides	s__Bacteroides dorei		genus_match_only							
g__Bacteroides.s__Bacteroides_massiliensis	g__Bacteroides	s__Bacteroides massiliensis		genus_match_only							
g__Bacteroides.s__Bacteroides_plebeius	g__Bacteroides	s__Bacteroides plebeius		genus_match_only							
g__Bacteroides.s__Bacteroides_salanitronis	g__Bacteroides	s__Bacteroides salanitronis		genus_match_only							
g__Bacteroides.s__Bacteroides_sartorii	g__Bacteroides	s__Bacteroides sartorii		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_An322	g__Bacteroides	s__Bacteroides sp An322		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_1076	g__Bacteroides	s__Bacteroides sp CAG 1076		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_144	g__Bacteroides	s__Bacteroides sp CAG 144		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_443	g__Bacteroides	s__Bacteroides sp CAG 443		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_462	g__Bacteroides	s__Bacteroides sp CAG 462		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_530	g__Bacteroides	s__Bacteroides sp CAG 530		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_545	g__Bacteroides	s__Bacteroides sp CAG 545		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_598	g__Bacteroides	s__Bacteroides sp CAG 598		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_633	g__Bacteroides	s__Bacteroides sp CAG 633		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_661	g__Bacteroides	s__Bacteroides sp CAG 661		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_709	g__Bacteroides	s__Bacteroides sp CAG 709		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_714	g__Bacteroides	s__Bacteroides sp CAG 714		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_754	g__Bacteroides	s__Bacteroides sp CAG 754		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_770	g__Bacteroides	s__Bacteroides sp CAG 770		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_CAG_875	g__Bacteroides	s__Bacteroides sp CAG 875		genus_match_only							
g__Bacteroides.s__Bacteroides_sp_OM08_11	g__Bacteroides	s__Bacteroides sp OM08 11		genus_match_only							
g__Bacteroides.s__Bacteroides_vulgatus	g__Bacteroides	s__Bacteroides vulgatus		genus_match_only							
g__Barnesiella.s__Barnesiella_sp_An22	g__Barnesiella	s__Barnesiella sp An22		genus_match_only							
g__Bifidobacterium.s__Bifidobacterium_asteroides	g__Bifidobacterium	s__Bifidobacterium asteroides		genus_match_only							
g__Bifidobacterium.s__Bifidobacterium_gallinarum	g__Bifidobacterium	s__Bifidobacterium gallinarum		genus_match_only							
g__Blautia.s__Blautia_coccoides	g__Blautia	s__Blautia coccoides		genus_match_only							
g__Blautia.s__Blautia_sp	g__Blautia	s__Blautia sp		genus_match_only							
g__Blautia.s__Blautia_sp_AF19_10LB	g__Blautia	s__Blautia sp AF19 10LB		genus_match_only							
g__Blautia.s__Blautia_sp_CAG_257	g__Blautia	s__Blautia sp CAG 257		genus_match_only							
g__Blautia.s__Blautia_sp_CAG_52	g__Blautia	s__Blautia sp CAG 52		genus_match_only							
g__Blautia.s__Blautia_wexlerae	g__Blautia	s__Blautia wexlerae		genus_match_only							
g__Blautia.s__Ruminococcus_gnavus	g__Blautia	s__Blautia Ruminococcus gnavus		genus_match_only							
